Player,Position
Mamadou Fofana,D (CL)
Thomas Fontaine,D (C)
Steven Fortes,D (CR)
Jimmy Giraudon,D (C)
Andrei Girotto,"D, DM (C)"
Álvaro González,D (C)
Andreaw Gravillon,D (CR)
Stian Gregersen,D (C)
Marcelo,D (C)
Christophe Hérelle,D (CR)
Cédric Hountondji,D (C)
Moritz Jenz,D (CR)
Jean-Armel Kana-Biyik,D (C)
Thilo Kehrer,D (CR)
Presnel Kimpembe,D (C)
Timothée Kolodziejczak,D (CL)
Laurent Koscielny,D (C)
Boubacar Kouyaté,D (C)
Lenny Lacroix,D
Julien Laporte,D (C)
Maxime Le Marchand,D (CL)
Eliaquim Mangala,D (C)
Guillermo Maripán,D (C)
Chrislain Matsima,D (C)
Moustapha Mbow,D (C)
Abdel Jalil Medioub,D (C)
Jérémy Morel,D (CL)
Harold Moukoudi,D (C)
Benoît Badiashile,D (CL)
Mickaël Nadé,D (CL)
Sikou Niakaté,D (CL)
Gerzino Nyamsi,D (CR)
Florent Ogier,D (C)
Warmed Omari,D (C)
Nicolas Pallois,D (C)
Erik Palmer-Brown,D (C)
Brayann Pereira,D
Lucas Perrin,D (C)
Léo Pétrot,D (C)
Adil Rami,D (CR)
Sergio Ramos,D (C)
Mamadou Sakho,D (C)
William Saliba,D (CR)
Philippe Sandler,D (C)
Alidu Seidu,D (CR)
Mexer,D (CR)
Thuler,D (C)
Saïdou Sow,D (CR)
Romain Thomas,D (CL)
Jean-Clair Todibo,D (C)
Ismaël Traoré,D (C)
Christopher Wooh,D (CR)
Banhie Zoukrou,D
